,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,"{'urls': [{'url': 'https://t.co/bMk4UQf5Bu', 'expanded_url': 'https://twitch.tv/hasfarr', 'display_url': 'twitch.tv/hasfarr', 'indices': [0, 23]}]}",False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
description,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,{'urls': []},False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,Tue Dec 15 03:28:05 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,1338687246501810176,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,1338687246501810176,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
text,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,"RT @OutrageousJosh: After a 1 month and 2 day drought, and a 8 and a half hour stream, I, ladies and gentlemen, have gotten a new WR in No…",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
entities,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OutrageousJosh', 'name': 'outrag #BlackLives(Still)Matter', 'id': 762523789393395712, 'id_str': '762523789393395712', 'indices': [3, 18]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
source,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,971491906541768704,971491906541768704,hasfarr,hasfarr,"Kansas, USA",,"22 year old college student that likes games and music too much | he/him | I rock, I roll, I bloom, I grow | Alt: @hfthoughts1 |🇺🇸/🇮🇷",https://t.co/bMk4UQf5Bu,,False,346,256,1,Wed Mar 07 21:04:54 +0000 2018,14820,,,False,False,7154,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_images/1235958048457469959/wLq6Ykgm_normal.jpg,https://pbs.twimg.com/profile_banners/971491906541768704/1578458328,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
