,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,"{'urls': [{'url': 'https://t.co/XWKzmtsXVa', 'expanded_url': 'https://hakuoh.carrd.co/', 'display_url': 'hakuoh.carrd.co', 'indices': [0, 23]}]}",False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,{'urls': []},False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,,False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,Wed Dec 16 06:03:14 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,,False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,1339088679155875840,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,,False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,1339088679155875840,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,,False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,RT @reallynotjin: nobody has the sheer amount of class and - for the lack of a better word - Swag™ as the japanese fandom artists who have…,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,,False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,,False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'reallynotjin', 'name': 'literallies ☾ (was @heystobbbit)', 'id': 1051675869326917634, 'id_str': '1051675869326917634', 'indices': [3, 16]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,,False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,732454582928871424,732454582928871424,✨🕊️,aIcadeias,Kogami / 22 / She/her,,Kogami's noisy acc 🦝 | Mostly fandom and some personal | I will never shut up about Duema | (FUB free),https://t.co/XWKzmtsXVa,,False,17,21,0,Tue May 17 06:15:55 +0000 2016,8226,,,False,False,9748,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_images/1325760770978668545/mHBO-7Mh_normal.jpg,https://pbs.twimg.com/profile_banners/732454582928871424/1595782769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
