,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,{'urls': []},False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,,False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
created_at,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,Wed Dec 16 02:13:00 +0000 2020,False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
id,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,1339030738717597697,False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
id_str,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,1339030738717597697,False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
text,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,Leave him alone https://t.co/dlzFhxTLG6,False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
truncated,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,False,False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
entities,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dlzFhxTLG6', 'expanded_url': 'https://twitter.com/zoemanquis/status/1339029976386068480', 'display_url': 'twitter.com/zoemanquis/sta…', 'indices': [16, 39]}]}",False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
source,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
in_reply_to_status_id,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,,False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
in_reply_to_status_id_str,519815708,519815708,tahjah.👁,_TahJah,,,∞ redeye; I’m mentally Crazy. lee me lone.,,,False,475,554,1,Fri Mar 09 20:57:24 +0000 2012,1676,,,False,False,56366,,,False,False,False,A39F9D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_images/1321326663796428802/oFnVVimr_normal.jpg,https://pbs.twimg.com/profile_banners/519815708/1604766762,4C8784,000000,DDEEF6,333333,True,False,False,False,False,False,False,none
