,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,"{'urls': [{'url': 'https://t.co/hdVqWufG5e', 'expanded_url': 'https://www.youtube.com/watch?v=dQw4w9WgXcQ', 'display_url': 'youtube.com/watch?v=dQw4w9…', 'indices': [0, 23]}]}",False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
description,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,{'urls': []},False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,Tue Dec 15 08:45:17 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,1338767069807075328,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,1338767069807075328,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
text,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,"@mandagracexoxo They’re tone indicators so /s is sarcasm,/srs is serious, and there are a bunch of others but they’… https://t.co/9LFc8EZ1i7",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,True,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
entities,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mandagracexoxo', 'name': 'manda grace 💀🔪', 'id': 2193140856, 'id_str': '2193140856', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/9LFc8EZ1i7', 'expanded_url': 'https://twitter.com/i/web/status/1338767069807075328', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
source,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,1338736008670670848,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,948003288666034178,948003288666034178,Quinn 🦻,hartsandhelbig,"Chicago, IL",,🏳️‍🌈🤟🧏🏻♿🏳️‍⚧️ 🎨📸🚗 #BlackDisabledLivesMatter // Deaf🦻🏼neurodiverse | they/them | this account is a mess so good luck,https://t.co/hdVqWufG5e,,False,1701,1069,23,Tue Jan 02 01:29:31 +0000 2018,152449,,,True,False,48930,,1338736008670670848,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_images/1325210758007848961/5FHiHN39_normal.jpg,https://pbs.twimg.com/profile_banners/948003288666034178/1588448891,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
