,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,"{'urls': [{'url': 'https://t.co/V4y1PB8KEd', 'expanded_url': 'https://soundcloud.com/masonpach', 'display_url': 'soundcloud.com/masonpach', 'indices': [0, 23]}]}",False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,{'urls': []},False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,Tue Dec 15 07:32:10 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,1338748672553725952,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,1338748672553725952,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,https://t.co/eeiHcAberH,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338748669626028035, 'id_str': '1338748669626028035', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EpQw0nCWEAMt6_z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQw0nCWEAMt6_z.jpg', 'url': 'https://t.co/eeiHcAberH', 'display_url': 'pic.twitter.com/eeiHcAberH', 'expanded_url': 'https://twitter.com/ProdByMasonn/status/1338748672553725952/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 622, 'h': 595, 'resize': 'fit'}, 'large': {'w': 622, 'h': 595, 'resize': 'fit'}, 'medium': {'w': 622, 'h': 595, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,"{'media': [{'id': 1338748669626028035, 'id_str': '1338748669626028035', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EpQw0nCWEAMt6_z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQw0nCWEAMt6_z.jpg', 'url': 'https://t.co/eeiHcAberH', 'display_url': 'pic.twitter.com/eeiHcAberH', 'expanded_url': 'https://twitter.com/ProdByMasonn/status/1338748672553725952/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 622, 'h': 595, 'resize': 'fit'}, 'large': {'w': 622, 'h': 595, 'resize': 'fit'}, 'medium': {'w': 622, 'h': 595, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1275303359227015170,1275303359227015170,mason,ProdByMasonn,he/him | bi | 15,,#skol,https://t.co/V4y1PB8KEd,,False,211,692,6,Tue Jun 23 05:43:18 +0000 2020,19816,,,True,False,21197,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_images/1332578671849332737/R2dOnqUu_normal.jpg,https://pbs.twimg.com/profile_banners/1275303359227015170/1607361652,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
