,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,{'urls': []},False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,Wed Dec 16 04:33:15 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,1339066034721067009,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,1339066034721067009,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,@VictoriaLBruce nope,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VictoriaLBruce', 'name': 'Victoria Bruce 🌹', 'id': 95961875, 'id_str': '95961875', 'indices': [0, 15]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,1339003424340406272,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,1339003424340406272,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
